event_id,choice_index,name_key,result_key
desert_bandits,1,event.desert_bandits.choice1,event.desert_bandits.choice1.result
desert_bandits,2,event.desert_bandits.choice2,event.desert_bandits.choice2.result
desert_bandits,3,event.desert_bandits.choice3,event.desert_bandits.choice3.result
desert_storm,1,event.desert_storm.choice1,event.desert_storm.choice1.result
desert_storm,2,event.desert_storm.choice2,event.desert_storm.choice2.result
desert_oasis,1,event.desert_oasis.choice1,event.desert_oasis.choice1.result
desert_oasis,2,event.desert_oasis.choice2,event.desert_oasis.choice2.result
desert_drought,1,event.desert_drought.choice1,event.desert_drought.choice1.result
desert_drought,2,event.desert_drought.choice2,event.desert_drought.choice2.result
desert_drought,3,event.desert_drought.choice3,event.desert_drought.choice3.result
desert_sand_trap,1,event.desert_sand_trap.choice1,event.desert_sand_trap.choice1.result
desert_sand_trap,2,event.desert_sand_trap.choice2,event.desert_sand_trap.choice2.result
desert_sand_trap,3,event.desert_sand_trap.choice3,event.desert_sand_trap.choice3.result
desert_wheel_stuck,1,event.desert_wheel_stuck.choice1,event.desert_wheel_stuck.choice1.result
desert_wheel_stuck,2,event.desert_wheel_stuck.choice2,event.desert_wheel_stuck.choice2.result
desert_wheel_stuck,3,event.desert_wheel_stuck.choice3,event.desert_wheel_stuck.choice3.result
desert_nomads,1,event.desert_nomads.choice1,event.desert_nomads.choice1.result
desert_nomads,2,event.desert_nomads.choice2,event.desert_nomads.choice2.result
desert_nomads,3,event.desert_nomads.choice3,event.desert_nomads.choice3.result
desert_ruins,1,event.desert_ruins.choice1,event.desert_ruins.choice1.result
desert_ruins,2,event.desert_ruins.choice2,event.desert_ruins.choice2.result
desert_ruins,3,event.desert_ruins.choice3,event.desert_ruins.choice3.result
mountain_bandits,1,event.mountain_bandits.choice1,event.mountain_bandits.choice1.result
mountain_bandits,2,event.mountain_bandits.choice2,event.mountain_bandits.choice2.result
mountain_bandits,3,event.mountain_bandits.choice3,event.mountain_bandits.choice3.result
mountain_rockslide,1,event.mountain_rockslide.choice1,event.mountain_rockslide.choice1.result
mountain_rockslide,2,event.mountain_rockslide.choice2,event.mountain_rockslide.choice2.result
mountain_wolves,1,event.mountain_wolves.choice1,event.mountain_wolves.choice1.result
mountain_wolves,2,event.mountain_wolves.choice2,event.mountain_wolves.choice2.result
mountain_wolves,3,event.mountain_wolves.choice3,event.mountain_wolves.choice3.result
mountain_pass_blocked,1,event.mountain_pass_blocked.choice1,event.mountain_pass_blocked.choice1.result
mountain_pass_blocked,2,event.mountain_pass_blocked.choice2,event.mountain_pass_blocked.choice2.result
mountain_pass_blocked,3,event.mountain_pass_blocked.choice3,event.mountain_pass_blocked.choice3.result
mountain_broken_axle,1,event.mountain_broken_axle.choice1,event.mountain_broken_axle.choice1.result
mountain_broken_axle,2,event.mountain_broken_axle.choice2,event.mountain_broken_axle.choice2.result
mountain_broken_axle,3,event.mountain_broken_axle.choice3,event.mountain_broken_axle.choice3.result
mountain_hermit,1,event.mountain_hermit.choice1,event.mountain_hermit.choice1.result
mountain_hermit,2,event.mountain_hermit.choice2,event.mountain_hermit.choice2.result
mountain_hermit,3,event.mountain_hermit.choice3,event.mountain_hermit.choice3.result
mountain_cave,1,event.mountain_cave.choice1,event.mountain_cave.choice1.result
mountain_cave,2,event.mountain_cave.choice2,event.mountain_cave.choice2.result
mountain_cave,3,event.mountain_cave.choice3,event.mountain_cave.choice3.result
mountain_monastery,1,event.mountain_monastery.choice1,event.mountain_monastery.choice1.result
mountain_monastery,2,event.mountain_monastery.choice2,event.mountain_monastery.choice2.result
mountain_monastery,3,event.mountain_monastery.choice3,event.mountain_monastery.choice3.result
